z,x,y
67,89,84
739,71,77
263,86,77
176,73,149
308,63,84
573,98,24
694,60,82
618,77,89
145,85,110
195,100,148
242,87,122
695,81,124
730,63,132
1,83,137
404,75,105
145,59,138
278,94,139
236,75,79
424,96,58
376,91,78
140,42,157
217,69,116
305,102,134
273,88,88
388,98,93
327,87,86
71,47,155
109,123,83
506,81,126
752,102,54
630,102,146
321,57,86
145,69,67
655,61,138
572,109,178
606,86,142
429,87,119
311,86,84
117,51,145
519,76,131
679,75,97
730,84,132
253,121,71
389,89,146
372,75,150
641,97,79
746,63,87
341,99,57
432,87,86
545,90,69
142,99,91
150,90,142
136,67,64
362,41,166
788,63,105
203,55,142
282,72,144
131,69,83
579,97,57
730,58,150
617,101,165
261,82,144
108,87,140
93,79,138
355,77,121
735,100,132
330,90,82
250,98,137
247,74,127
290,89,89
611,74,96
511,104,181
572,80,103
386,34,160
742,86,104
328,48,149
22,88,121
279,66,83
546,97,36
618,88,164
437,101,137
68,67,107
143,82,142
678,76,140
372,71,89
685,86,69
674,85,102
138,99,131
789,82,79
387,107,56
569,91,104
598,85,100
701,73,74
210,87,143
457,108,171
209,94,85
253,75,140
344,88,109
704,74,136
631,81,174
82,83,76
124,78,72
296,89,135
572,98,181
597,79,84
479,73,84
575,104,180
156,77,141
613,95,163
753,77,126
132,50,77
546,18,83
647,83,123
499,83,126
431,97,175
499,73,157
332,91,96
238,91,79
563,77,139
196,99,75
691,81,168
104,85,87
672,78,135
731,77,104
759,79,102
455,119,50
733,75,89
65,91,145
645,69,68
290,59,89
724,66,136
783,48,82
677,80,93
5,78,81
759,64,137
86,76,145
179,104,170
61,117,82
422,81,138
702,72,116
324,90,83
194,49,157
143,82,62
301,78,70
215,88,89
76,106,173
673,76,108
682,86,69
572,104,152
567,92,155
114,103,144
600,68,81
652,58,85
343,96,181
498,96,90
72,72,85
8,81,151
259,70,132
331,98,176
453,106,159
440,97,66
121,57,71
456,117,183
19,73,155
623,106,63
732,81,89
751,76,152
626,92,62
312,66,141
773,97,179
527,61,157
452,74,68
110,74,106
768,89,146
407,48,68
228,60,75
681,66,140
350,109,173
451,98,81
278,84,131
269,112,85
168,123,144
461,74,106
217,96,97
14,96,136
54,109,162
367,104,32
230,97,82
402,82,126
689,104,139
483,96,200
328,122,155
328,109,142
159,71,76
133,76,123
331,73,148
259,95,132
584,101,74
176,66,87
753,76,123
250,108,59
680,80,89
287,118,134
772,77,116
329,101,145
90,108,84
369,89,117
479,112,147
295,86,87
656,85,39
239,101,138
712,85,53
754,89,101
199,117,90
411,102,60
383,93,172
116,109,81
401,84,86
463,114,42
448,116,35
401,82,83
275,48,73
381,86,92
172,93,124
696,66,81
548,84,94
382,93,75
636,84,143
189,48,74
411,79,179
102,89,144
263,103,89
311,70,91
195,66,144
640,63,59
464,98,64
266,61,81
109,50,168
149,61,148
687,100,73
542,78,147
473,91,132
328,66,96
349,87,137
723,75,81
462,64,80
596,78,136
629,67,153
354,98,50
273,122,144
122,116,137
647,74,132
328,74,89
745,64,83
155,88,126
605,79,61
458,118,52
528,87,182
327,107,134
127,64,139
132,90,104
157,76,129
579,78,42
293,65,66
449,93,153
785,85,125
619,84,87
748,70,143
773,83,143
651,47,156
597,97,178
571,46,86
141,75,134
621,106,61
205,67,160
629,84,135
29,84,103
780,81,133
271,64,136
71,111,140
158,50,68
357,86,163
716,86,92
227,37,143
709,77,150
526,79,48
230,70,156
520,85,128
470,115,171
346,114,48
375,70,136
85,73,125
635,90,66
182,109,156
36,64,116
699,77,126
772,82,140
125,82,99
118,68,114
539,90,136
539,80,182
154,80,75
570,103,172
488,92,147
556,97,56
210,51,154
637,97,79
607,74,100
755,77,79
722,100,91
379,90,180
408,84,131
223,97,159
323,72,58
456,105,58
741,79,148
122,90,105
193,92,85
624,86,153
170,74,64
637,92,162
788,82,110
491,87,46
201,78,74
434,97,178
247,71,124
236,75,141
193,100,131
45,85,126
669,78,127
416,102,79
438,116,167
64,93,148
684,93,147
676,99,149
