,z,x,y,population_key
589,495,90,85,V2b_Cord1
590,495,102,166,V2b_Cord1
591,495,104,175,V2b_Cord1
592,495,88,86,V2b_Cord1
593,495,104,183,V2b_Cord1
594,495,82,41,V2b_Cord1
595,495,89,94,V2b_Cord1
596,495,80,46,V2b_Cord1
597,495,101,188,V2b_Cord1
598,495,85,85,V2b_Cord1
599,495,86,91,V2b_Cord1
600,495,84,90,V2b_Cord1
601,495,93,197,V2b_Cord1
602,495,94,198,V2b_Cord1
603,495,86,100,V2b_Cord1
604,495,86,125,V2b_Cord1
605,495,83,117,V2b_Cord1
606,495,82,106,V2b_Cord1
607,495,82,117,V2b_Cord1
608,495,83,136,V2b_Cord1
609,495,80,114,V2b_Cord1
610,495,82,180,V2b_Cord1
611,495,77,104,V2b_Cord1
612,495,77,116,V2b_Cord1
613,495,76,107,V2b_Cord1
614,495,80,170,V2b_Cord1
615,495,75,122,V2b_Cord1
616,495,77,177,V2b_Cord1
617,495,76,147,V2b_Cord1
618,495,65,184,V2b_Cord1
619,495,68,128,V2b_Cord1
620,497,119,63,V2b_Cord1
621,497,117,187,V2b_Cord1
622,497,103,151,V2b_Cord1
623,497,105,197,V2b_Cord1
624,497,102,175,V2b_Cord1
625,497,102,180,V2b_Cord1
626,497,110,47,V2b_Cord1
627,497,102,197,V2b_Cord1
628,497,93,154,V2b_Cord1
629,497,94,136,V2b_Cord1
630,497,94,134,V2b_Cord1
631,497,93,172,V2b_Cord1
632,497,106,41,V2b_Cord1
633,497,86,197,V2b_Cord1
634,497,89,188,V2b_Cord1
635,497,86,150,V2b_Cord1
636,497,87,138,V2b_Cord1
637,497,82,154,V2b_Cord1
638,497,81,152,V2b_Cord1
639,497,82,167,V2b_Cord1
640,497,88,64,V2b_Cord1
641,497,86,76,V2b_Cord1
642,497,94,26,V2b_Cord1
643,497,80,136,V2b_Cord1
644,497,87,105,V2b_Cord1
645,497,85,84,V2b_Cord1
646,497,86,55,V2b_Cord1
647,497,84,115,V2b_Cord1
648,497,84,120,V2b_Cord1
649,497,75,143,V2b_Cord1
650,497,83,54,V2b_Cord1
651,497,83,109,V2b_Cord1
652,497,73,143,V2b_Cord1
653,497,81,115,V2b_Cord1
654,497,82,105,V2b_Cord1
655,497,79,116,V2b_Cord1
656,497,81,102,V2b_Cord1
657,497,81,103,V2b_Cord1
658,497,77,61,V2b_Cord1
659,497,79,115,V2b_Cord1
660,497,80,102,V2b_Cord1
661,497,78,104,V2b_Cord1
662,497,77,104,V2b_Cord1
663,497,77,109,V2b_Cord1
664,497,75,116,V2b_Cord1
665,497,72,95,V2b_Cord1
666,330,120,179,V2b_Cord1
667,330,112,82,V2b_Cord1
668,330,105,169,V2b_Cord1
669,330,104,190,V2b_Cord1
670,330,114,55,V2b_Cord1
671,330,104,191,V2b_Cord1
672,330,99,173,V2b_Cord1
673,330,98,174,V2b_Cord1
674,330,100,139,V2b_Cord1
675,330,101,75,V2b_Cord1
676,330,91,147,V2b_Cord1
677,330,97,77,V2b_Cord1
678,330,88,145,V2b_Cord1
679,330,89,138,V2b_Cord1
680,330,98,87,V2b_Cord1
681,330,84,159,V2b_Cord1
682,330,87,122,V2b_Cord1
683,330,92,47,V2b_Cord1
684,330,92,108,V2b_Cord1
685,330,74,161,V2b_Cord1
686,330,84,118,V2b_Cord1
687,330,88,72,V2b_Cord1
688,330,90,34,V2b_Cord1
689,330,72,158,V2b_Cord1
690,330,72,152,V2b_Cord1
691,330,84,106,V2b_Cord1
692,330,85,37,V2b_Cord1
693,330,78,108,V2b_Cord1
