z,x,y
768,78,51
394,96,100
142,106,86
252,101,132
641,74,111
601,103,89
213,26,140
616,85,96
286,98,134
75,65,107
144,83,122
106,110,83
329,92,64
435,80,112
16,58,176
452,103,64
73,100,93
369,91,104
699,84,114
501,87,102
123,33,63
232,102,126
645,96,165
149,110,142
232,103,142
246,66,95
497,100,82
540,70,116
478,76,105
641,88,77
730,32,84
431,41,133
118,105,143
175,93,109
233,108,153
610,119,24
732,70,124
204,37,39
769,48,132
500,90,109
404,122,154
263,89,92
99,57,109
602,72,111
647,85,112
467,81,140
94,122,146
691,83,123
655,82,113
778,55,160
519,94,81
246,95,104
469,86,126
706,84,110
61,108,93
206,63,157
