z,x,y
703,72,47
228,102,82
246,81,49
176,96,59
264,93,68
91,69,141
328,83,183
706,70,38
163,76,168
197,83,68
231,127,157
154,114,161
722,90,65
656,95,159
733,92,68
668,96,38
694,73,169
118,80,66
32,98,160
88,71,80
178,115,144
59,63,123
669,71,162
327,95,156
772,63,65
679,70,75
580,95,192
701,88,166
408,73,41
172,99,48
689,71,91
183,86,172
0,0,0
747,73,84
162,104,66
738,78,58
625,107,180
0,0,0
402,80,141
110,96,137
526,74,133
298,66,145
667,67,78
526,89,177
499,76,186
217,98,59
370,73,98
648,81,113
201,97,58
131,125,76
783,54,76
758,53,94
478,93,173
170,75,177
730,75,186
419,83,192
367,72,72
571,71,174
661,107,199
776,101,153
779,85,108
280,89,168
715,80,73
200,109,152
458,49,71
630,83,38
467,81,66
329,77,69
284,106,158
207,89,81
257,50,158
221,87,148
102,75,82
298,121,78
744,73,48
64,109,132
414,98,44
165,73,79
655,77,58
316,97,77
257,43,145
73,99,130
685,117,51
660,74,62
638,78,53
613,95,185
679,67,165
654,84,192
237,96,128
599,82,194
176,72,180
243,52,58
359,59,164
541,73,168
163,84,150
179,91,168
113,88,64
596,102,188
122,108,92
227,95,158
726,99,156
262,91,173
410,76,148
117,97,151
0,0,0
312,113,149
689,69,54
265,108,135
310,77,72
619,88,173
534,83,190
425,88,187
169,121,150
66,106,77
556,92,161
701,94,55
532,112,80
627,88,31
298,97,64
187,109,80
735,82,77
760,109,187
711,87,132
751,65,136
776,79,149
633,113,55
202,99,73
466,83,41
101,115,160
695,66,158
66,92,63
287,54,145
370,61,146
502,70,40
689,73,46
156,65,86
613,115,75
556,75,190
154,104,45
389,91,168
239,114,77
305,107,161
366,61,80
600,74,174
327,95,187
740,102,159
587,112,165
751,70,138
95,70,142
31,60,155
282,57,145
204,85,40
281,97,154
241,99,124
785,87,147
737,93,61
134,102,68
316,64,148
566,94,181
272,97,106
89,74,146
701,89,184
112,119,69
471,86,181
165,127,83
591,119,41
453,80,154
316,70,47
545,77,45
135,70,166
561,125,183
414,74,85
97,80,166
61,71,144
67,90,150
394,80,185
334,73,134
61,87,147
0,0,0
766,78,59
676,91,36
65,93,170
96,73,82
149,76,146
722,96,96
311,94,70
84,108,66
530,80,186
746,107,144
694,64,118
322,105,74
612,69,49
679,67,67
296,100,95
754,86,136
528,105,51
648,63,167
486,93,43
513,80,50
639,80,46
258,102,69
287,52,144
331,64,163
779,87,170
253,54,74
737,81,148
622,78,190
329,62,143
0,0,0
609,71,166
221,94,156
721,93,77
651,105,57
126,120,164
505,74,165
255,69,85
234,98,65
239,97,52
606,78,53
100,76,157
205,70,146
456,82,152
304,67,173
219,97,166
319,97,173
726,89,65
788,77,58
282,56,84
673,84,48
530,101,167
318,99,157
232,106,61
157,99,98
316,123,166
620,71,171
243,68,58
752,85,123
701,93,55
697,81,44
473,119,162
461,80,91
788,67,70
67,84,52
645,95,183
674,94,153
619,98,58
233,104,161
87,107,175
277,109,154
149,103,74
214,100,154
357,89,30
677,70,186
136,76,154
577,122,50
733,107,160
487,93,186
512,88,53
671,82,49
703,112,164
129,95,99
676,89,177
251,85,65
742,105,153
145,102,73
527,97,197
106,71,154
328,90,153
254,96,144
619,75,47
178,120,163
272,125,150
265,71,166
727,94,163
706,120,182
215,108,90
150,119,148
61,98,155
627,66,145
598,83,69
228,88,69
119,93,69
624,86,158
768,92,98
669,119,178
415,83,32
550,121,56
734,70,124
283,65,82
114,101,152
154,117,83
610,61,160
467,78,137
261,58,139
696,74,54
750,77,172
141,95,73
105,101,67
138,81,55
83,108,88
643,93,172
200,102,139
388,82,105
84,92,151
594,70,128
674,79,81
357,108,51
264,91,66
714,79,129
200,107,154
62,104,162
773,80,138
420,75,119
544,93,50
103,72,77
747,74,182
88,90,68
170,116,92
298,69,79
194,99,145
96,103,141
500,114,188
627,70,169
647,83,192
733,75,122
0,0,0
551,120,37
29,111,151
73,65,142
613,90,38
220,89,165
