z,x,y
199,92,87
98,75,144
162,82,134
518,95,120
226,96,179
623,109,182
387,84,106
338,119,49
151,73,129
242,96,81
276,67,82
735,68,128
568,82,91
406,85,96
329,95,160
673,80,93
0,0,0
642,98,128
721,76,79
265,60,125
456,115,185
789,112,153
181,70,71
145,54,73
114,56,143
192,80,150
348,97,179
495,81,157
241,57,129
728,106,179
574,95,134
14,64,155
770,82,135
430,96,69
315,105,134
736,89,85
700,82,139
430,101,65
83,85,73
677,98,68
184,123,158
145,79,75
289,89,136
507,82,149
667,77,81
146,60,114
552,87,90
254,61,80
117,112,87
741,69,175
452,73,63
70,116,142
529,95,44
578,79,100
348,104,65
597,69,85
440,115,187
788,104,135
291,79,148
409,109,35
603,85,101
498,81,92
361,92,39
494,85,116
503,90,155
658,65,87
745,65,60
132,20,172
767,75,109
198,81,92
402,95,157
503,106,184
623,83,158
307,57,141
149,81,156
509,94,154
766,91,85
468,109,78
150,50,144
242,100,83
556,101,153
361,98,144
544,97,26
766,90,131
338,99,91
90,57,110
446,110,53
104,45,72
277,98,104
445,118,38
198,91,141
620,77,111
101,72,142
260,68,137
756,85,130
432,113,151
0,0,0
764,86,100
51,72,89
216,98,95
661,80,86
386,99,192
433,81,38
700,93,101
454,103,38
235,121,78
406,83,75
750,81,87
377,107,57
447,111,44
259,37,157
101,39,141
678,87,136
302,73,137
99,65,81
634,60,164
115,99,77
305,93,143
463,113,159
762,63,140
785,89,170
240,83,141
673,83,135
281,90,138
462,99,156
727,79,136
223,79,165
162,64,150
430,66,87
126,75,66
515,58,100
625,67,73
480,76,136
343,96,180
196,60,110
765,75,132
458,111,67
50,114,85
557,96,150
449,113,182
760,98,91
320,60,142
179,67,151
157,126,159
424,98,129
471,107,170
275,91,79
112,59,76
739,79,123
787,72,159
127,92,132
335,88,139
89,83,144
131,80,63
582,84,160
190,87,141
388,99,161
564,110,78
256,101,146
454,106,172
354,104,162
517,89,117
665,91,69
459,92,86
642,80,97
625,77,97
427,105,66
520,108,68
93,120,91
85,53,75
620,80,141
610,81,169
467,100,66
348,102,149
364,112,64
612,70,79
449,98,25
191,85,142
564,103,165
545,93,155
506,85,81
601,98,192
133,94,139
509,76,61
701,73,78
135,97,126
628,77,149
780,78,95
533,93,46
389,79,174
568,86,148
403,76,115
334,95,81
495,102,167
381,103,57
183,71,151
140,74,84
752,73,81
458,73,117
789,69,144
125,100,87
485,96,168
768,91,129
257,72,140
787,86,103
316,71,142
152,114,167
211,94,83
120,87,144
651,84,45
196,98,136
683,65,83
270,75,145
232,127,151
499,81,129
295,77,147
95,75,144
75,78,156
563,78,64
233,81,129
718,71,114
163,78,105
187,65,78
470,81,79
5,74,97
61,110,82
328,96,119
767,57,137
686,72,97
776,62,92
422,87,187
763,77,136
248,111,90
709,78,96
241,82,93
479,97,51
320,76,146
731,79,130
457,94,157
227,77,106
666,89,81
533,102,169
71,73,104
422,88,47
233,72,137
77,83,120
280,97,146
252,113,134
151,69,150
439,101,59
412,92,82
726,80,134
633,103,153
773,90,136
301,106,140
577,86,175
202,86,147
753,73,123
680,72,137
714,98,147
189,82,127
272,87,82
463,107,166
357,88,181
193,86,142
85,73,148
389,89,64
729,67,97
320,76,85
224,85,94
496,34,62
769,55,76
788,73,137
416,82,180
749,88,101
557,76,85
760,78,79
235,29,171
333,101,170
111,92,144
143,53,73
244,82,149
699,88,147
570,88,82
99,73,150
206,107,80
331,108,160
474,97,46
384,66,80
418,85,182
62,85,76
111,39,160
634,84,69
758,110,163
478,108,49
216,128,148
440,108,60
608,91,37
520,88,194
555,50,61
467,96,94
